genotype_index,genotype,perfperiod,lifespan,distance,velocity
12,"(rrX(lX(llX[T:1],),lXMMMMX[|1:1.378,-1:-3]rrX[T:-0.407](LlX,,LlX),))",500,10000.0,10.301857655626694,0.0010301857655626693
13,"bDdgX(X[@0:1.524][|1:-2.379], rrLC(rX[|T:2.114], rrrLX[|T:2.114], rrrLX[|T:3.939], rLMX[|T:2.936, -1:-0.812], rLMXFX[@1:-1.040][0:-1.331][|G:1.849][T:-2.607], rLMXFcCX[@1:2.227][N][|G:1.849], rLMXFcCX[@0:-2.675, -1:-483.403, 1:-822.175][|G:2.389], X))",500,10000.0,93.72747126272236,0.009372747126272236
14,"X(X, RRMMX[@G:.5](X[@G:.5,-1:1], X))",500,10000.0,7.966740040975061,0.0007966740040975061
15,"FFX[G:-5.141,in:0]MMX[|-1:8.097,in:0.8,fo:0.04]X[|-1:-1.898,fo:1]RRX(X, X)",500,10000.0,0.27608643373445885,2.7608643373445886e-05
16,"RRLLLLFFFFX[*][Sin][N,-1:-14.52,-2:3.977,in:0.907657]lllffffX[|,-1:52.083,p:1,r:0.886]RRFFFFXllllF(llllFFFF(lllllX,llllFFFFX))",500,10000.0,33.75635655635591,0.0033756356556355915
17,RXX(XCcXXX),500,10000.0,0.002345893331106387,2.3458933311063868e-07
18,"X[S]rrX[G][-1:80][|, -1:-0.027]X[|, -2:-21]",500,10000.0,17.85838663574359,0.001785838663574359
19,"(rrX(lX(llX[T:1],),lXMMMMX[|1:1.378,-1:-3]rrX[T:-0.407]l(LlX,,LlX),))",500,10000.0,9.056640436452017,0.0009056640436452017
20,"bDdgX(X[@0:1.524][|1:-2.379], rrLC(rX[|T:2.114], rrrLX[|T:2.114], rrrLX[|T:3.939], rLMX[|T:2.936, -1:-0.812], rLMXFX[@1:-1.040][0:-1.331][|G:1.849][T:-2.607], rLMXFcCX[@1:2.227][N][|G:3.838], rLMXFcCX[@0:-2.675, -1:-483.403, 1:-822.175][|G:2.389], X))",500,10000.0,197.3421231548637,0.019734212315486374
21,"X(X, RRMMX[@G:0.738](X[@G:.5,-1:1], X))",500,10000.0,129.64736114056342,0.01296473611405634
22,"FFX[G:-8.903,in:0]MMX[|-1:8.097,in:0.8,fo:0.04]X[|-1:-1.898,fo:1]RRX(X, X)",500,10000.0,0.27608827352327037,2.7608827352327037e-05
23,"RRLLLLFFFFX[*][Sin][N,-1:-14.52,-2:3.977,in:0.907657]lllffffX[|,-1:49.545,p:1,r:0.886]RRFFFFXllllF(llllFFFF(lllllX,llllFFFFX))",500,10000.0,33.75635655635965,0.003375635655635965
24,RXX(XCcX[S]XX),500,10000.0,0.0023458933310947904,2.34589333109479e-07
25,"X[S]rrX[G][-1:80][|, -1:-0.027]X[|, -2:-20.549]",500,10000.0,10.911189607515821,0.001091118960751582
26,"(rrX(lX(llX,),lXMMMMX[|1:1.378]rrX[T:-0.407]l(LlX,,LlX),))",500,10000.0,0.0005331848924914766,5.331848924914766e-08
27,"bDdgX(X[@0:1.524][|1:-4.885], rrLC(rX[|T:2.114], rrrLX[|T:2.114], rrrLX[|T:3.939], rLMX[|T:2.936, -1:-0.812], rLMXFX[@1:-1.040][0:-1.331][|G:1.849][T:-2.607], rLMXFcCX[@1:2.227][N][|G:3.838], rLMXFcCX[@0:-2.675, -1:-483.403, 1:-822.175][|G:2.389], X))",500,10000.0,182.40901562723153,0.018240901562723153
28,"X(X, RRMMX[@G:0.738](X[@G:-0.553,-1:1], X))",500,10000.0,132.22881530327044,0.013222881530327045
29,"FFX[G:-8.903,in:0]MMX[|-1:11.318,in:0.8,fo:0.04]X[|-1:-1.898,fo:1]RRX(X, X)",500,10000.0,0.3161220571064119,3.1612205710641184e-05
30,"RRLLLLFFFFX[*][Sin][N,-1:-14.52,-2:3.977,in:0.907657]lllffffX[|,-1:49.545,p:1,r:0.886]RRFFFFXllllF(llllFFFF(lllllXllllFFFFX))",500,10000.0,1.8390160767554349,0.00018390160767554347
31,RXX(XCcLX[S]XX),500,10000.0,0.0011114209793426292,1.1114209793426291e-07
32,"X[S]rrX[G][-1:80][|, -1:-0.027]X[|, -2:-23.499]",500,10000.0,4.038886257883053,0.0004038886257883053
